	P1.1	P1.2	P1.3	P1.4	P2.1	P2.2	P2.3	P2.4	P2.5	P2.6	P2.7	P3.1	P3.2	P3.3	P3.4	P4.1	P4.2	P4.3	P4.4	P4.5	P6.1	P6.2	P6.3	P6.4	P6.5	P7.1.1	P7.1.2	P7.1.3	P7.1.4
Calystegin_B2	-0.29399	0.25634	-0.38472	-0.010888	0.84534	-0.17324	-0.18758	0.0018405	-0.12095	0.031496	-0.42138	0.10527	-0.15364	-0.19822	-0.35728	0.22913	-0.30526	-0.078581	-0.38963	-0.41024	0.23477	-0.2167	-0.37043	-0.26588	-0.084461	0.0054535	0.053564	-0.19806	-0.39412
Potassium_2-(1''-ethoxy)_ethoxypropanoate	-0.1184	1.5848	-0.39946	0.26675	1.5248	-0.52358	0.10549	0.26164	-0.27146	0.30936	-0.56302	0.37542	-0.1982	0.047271	-0.23691	-0.096667	-0.057598	-0.22416	-0.28144	-0.22966	3.4379	-0.47789	-0.18063	-0.46351	0.045486	0.82705	0.31322	0.049221	-0.18797
1-Isothiocyanato-7-(methylthio)heptane	-0.1884	0.39191	-0.10221	-0.13649	9.7912	-0.1738	-0.17415	0.003004	-0.16025	-0.028094	-0.18238	0.27679	-0.062848	-0.17068	0.068458	0.40528	-0.18935	-0.12859	-0.1536	-0.1841	0.071022	-0.19078	-0.18837	-0.16025	-0.16409	0.23455	0.015852	-0.1834	-0.16588
"N-Methylcalystegine_C1;_Dihydro-2,4-dimethyl-6-(2-methylpropyl)-4H-1,3,5-di..."	-0.11301	-0.088568	-0.88678	0.06943	1.6757	0.13459	-0.59161	-0.026733	1.3697	0.050878	0.31947	2.1681	-0.40929	-0.63593	-0.44891	0.95791	-0.7021	-0.20691	-0.56839	-0.4755	4.3346	-0.12545	-1.1535	0.28736	-0.42152	-0.60471	0.22601	-0.70048	-0.6622
"2-(2,6-dihydroxy-3,4-dimethoxycyclohexylidene)acetonitrile"	0.2075	-0.038344	-0.47142	-0.44507	-0.40993	-0.53457	-0.46916	-0.2562	-0.11384	-0.27538	0.059885	0.50731	-0.32063	-0.45668	-0.36165	-0.0069284	-0.59632	-0.49648	-0.37812	-0.37388	-0.3394	-0.51911	-0.6172	-0.24467	-0.49532	-0.087165	-0.25872	-0.47109	-0.41305
N-Acetyl-b-glucosaminylamine	0.31528	0.47298	-0.37017	-0.5991	1.1011	-0.34569	-0.59258	1.1032	-0.40723	1.267	-0.62748	0.18964	-0.17935	-0.55198	-0.46658	0.22926	-0.35862	1.5273	-0.53906	-0.49331	0.64145	-0.51508	-0.48544	-0.21655	-0.42651	0.40399	1.0075	-0.54217	-0.64292
N-Acetylgalactosamine;_2''-Deoxysepiapterin	-1.6264	2.9885	-0.93999	0.25716	1.5235	-0.49333	0.044474	0.92266	-0.14282	1.162	-1.1212	1.2898	0.45808	-0.18571	-0.65975	1.1773	-0.35957	-0.45686	-1.0206	-1.0117	0.37294	-0.58007	-0.22151	-0.12294	0.30882	1.1989	0.86732	0.033695	-1.0055
Methyl_dihydrojasmonate	-0.37344	2.7622	2.1433	-0.34256	0.51566	-0.88142	-1.0003	1.6092	0.83874	1.6368	-0.26492	0.72897	1.2089	-1.1691	-0.92311	3.987	-1.3588	0.9118	-0.71347	-1.3522	3.5778	-0.43002	-0.84953	-0.68024	-0.24854	2.0979	1.6677	-1.2706	-0.62213
"3,3''-Dithiobis[4,5-dihydro-2-methylfuran]"	2.024	0.51077	-0.11342	-0.13982	7.2842	-0.21802	-0.28523	-0.20856	5.4234	-0.19844	-0.58695	-0.0074381	0.14881	-0.34606	-0.26767	-0.22744	-0.45877	-0.044016	-0.39976	-0.38836	-0.0049838	-0.073717	-0.25076	-0.43533	-0.14512	-0.19348	-0.094986	-0.30931	-0.429
Trimetaphosphoric_acid	-0.069698	0.034849	-0.10899	-0.19017	-0.12635	-0.22654	-0.63516	0.057004	1.4718	0.17469	-0.67733	0.37267	0.26792	-0.56848	-0.13636	-0.23361	-1.0059	-0.052423	-0.41841	-0.0054149	2.1721	0.33743	-0.39782	-0.63121	-0.57905	1.0872	0.55629	-0.43105	0.46559
D-glycero-L-galacto-Octulose	-0.87192	0.75622	-0.81699	1.6756	5.3854	0.90824	0.51451	0.76287	-0.030158	0.9117	-1.1765	2.0858	0.5071	0.11457	-0.49666	-0.37857	-0.43182	-0.4571	-0.62506	-0.64152	0.3717	0.24175	-0.24948	-0.83217	0.84378	0.37588	0.91819	0.32546	-0.69781
Melatonin_radical	-0.52964	3.5224	-1.7443	-0.31811	2.5699	-0.60865	-0.51532	1.5731	1.7585	1.7164	-0.77291	1.5093	1.3221	-0.56267	1.0931	0.65358	-0.67282	-0.39624	0.32649	0.28762	2.3807	-1.2129	-1.5104	0.127	-0.14319	3.1734	1.5004	-0.42722	0.65255
Ascorbalamic_acid	-1.3052	0.33326	-0.77537	3.1763	1.1002	-0.77735	-0.31134	-0.1081	3.1203	-0.071965	-0.71109	2.9101	-0.59859	-0.30918	-0.076227	3.259	-0.64563	-0.84189	-0.30475	-0.22546	0.31081	-0.79888	-0.45116	-1.0108	1.4257	-0.22339	-0.083173	-0.35516	-0.4853
Lactapiperanol_C	2.864	4.7905	-0.37226	-0.53977	-0.6729	-0.81836	-1.0121	1.1041	-0.23958	1.3608	0.29844	0.93323	0.7194	-0.91166	-0.42098	0.2085	-0.65287	-0.17906	0.12576	-1.008	3.6735	-0.88908	-0.73307	0.06538	-0.30767	0.93437	1.023	-0.83188	0.2077
"2-trans,4-cis-Decadienoylcarnitine"	1.1482	1.2116	-0.53051	-0.69659	-0.37385	0.13152	-0.81417	0.82664	-0.40702	0.74069	-0.3772	0.73673	0.83221	-0.71203	-0.31308	1.8491	-0.32612	-0.026448	-0.094817	-0.51301	0.33625	-0.66151	-0.70173	0.17336	-0.67334	0.65762	0.7813	-0.58541	-0.10901
N-desmethylalmotriptan	-0.99809	5.1281	0.18956	-0.33325	0.86759	-0.62273	-0.10196	1.8577	-1.2517	1.9168	-1.0679	0.86658	-0.2331	0.0039251	-0.22712	0.16109	-0.15196	-0.35085	-0.11607	-0.25426	0.21588	-0.71087	-0.68041	-0.85617	0.33066	1.1766	1.7846	0.27743	-0.40715
"(ent-2b,4S,9a)-2,4,9-Trihydroxy-10(14)-oplopen-3-one_2-(2-methylbutanoate)_..."	1.9824	1.5982	-0.24802	-0.88589	-0.49054	-0.06649	-0.48942	1.2816	-0.4227	1.2015	1.271	1.4706	0.17347	-0.4634	-0.78468	0.91231	0.32083	-0.25419	-0.48686	-0.75185	2.6113	-0.15208	-0.67689	1.2698	-0.85091	0.40482	0.841	-0.37587	-0.50034
Diphenoxylate	0.41273	0.54197	-0.83866	-0.68429	-0.237	0.045364	-0.36342	-0.21902	-0.40325	-0.16804	3.8491	-0.14126	-0.13889	-0.3507	-0.31876	-0.19356	-0.27076	-0.31024	-0.28777	-0.3572	0.33294	-0.13584	-0.58824	0.96779	-0.68381	0.00013319	-0.19284	-0.32341	-0.29965
Dolicholide	3.8677	2.6187	0.24378	-0.63511	-0.37519	-0.66952	-1.0515	1.9059	-0.62328	1.9441	3.9738	0.86948	0.36882	-0.7508	-0.74717	1.0086	-0.16415	-0.009067	-0.45622	-0.86282	3.1949	-0.53402	-0.57154	1.2121	-0.83405	0.55763	1.1969	-0.88398	-0.62375
Goshonoside_F1	1.019	0.15021	-0.66662	-0.59352	-0.26002	-0.48682	-0.36161	0.25496	-0.3529	0.1351	1.4683	4.7434	-0.36138	-0.37882	-0.3412	0.48413	-0.22936	-0.52511	-0.060922	-0.59317	1.3984	-0.62717	-0.38247	-0.19537	-0.62793	1.1028	0.13342	-0.34229	-0.16429
Tangeraxanthin	2.0418	4.3517	-0.87356	-1.3609	-0.65638	-0.40615	-0.61546	0.56775	-0.53879	0.4872	2.0669	2.1722	0.24505	-0.43952	0.75543	0.015888	-0.2916	-0.70729	0.47454	0.078812	2.4909	-0.77407	-0.44139	0.2742	-1.2351	3.0672	0.55307	-0.42052	0.32822
Spirolide_E	0.20073	0.14249	0.0093003	-0.15345	-0.40947	-0.37135	-0.35491	-0.20349	-0.11003	-0.075611	0.32752	-0.17263	-0.64665	-0.40549	-0.27169	-0.0064588	-0.21203	-0.18458	-0.25757	0.061642	-0.029281	-0.36236	-0.079048	0.1188	-0.40136	9.6608	-0.17101	-0.29086	-0.40198
"1,2-Di-O-myristoyl-3-O-(6-sulfoquinovopyranosyl)glycerol"	-0.088084	-0.004646	-0.33074	-0.3725	-0.13037	-0.094983	-0.23074	-0.21718	-0.36973	-0.11136	-0.18961	-0.24764	-0.13696	-0.22784	-0.36462	-0.31006	-0.25872	-0.26792	-0.34468	-0.34434	-0.14718	-0.22523	-0.30436	-0.25471	-0.39712	0.14635	-0.22016	-0.24833	-0.39646
14-hydroxyclarithromycin	0.11269	0.16416	-0.32143	-0.49183	-0.28673	-0.089708	-0.42177	0.1561	-0.20451	0.14841	0.2647	-0.12932	-0.37871	-0.51451	-0.37248	-0.17245	-0.093982	-0.16114	-0.29867	-0.19207	-0.047521	-0.10023	-0.22586	-0.14635	-0.63578	9.2475	-0.16483	-0.36281	-0.35264
Azaspiracid_4	4.2466	1.0267	-0.51313	-1.604	0.89796	-0.73133	-0.48709	0.036553	-0.90744	-0.43216	0.37233	1.0373	-0.17554	-1.8856	0.52717	-0.22943	0.97496	-0.86934	1.4109	0.26276	0.99543	-0.97965	-0.42361	0.132	-1.5342	1.365	0.73573	-1.068	0.26111
Cyclopassifloside_III	3.1085	1.6273	-0.24754	-1.4278	0.9849	-0.69787	-0.88823	0.007329	-0.50364	1.6008	0.76348	1.7581	-0.029897	-1.3528	0.158	-0.42499	1.2635	-0.22826	0.88012	0.7395	0.67041	0.20472	-0.47987	0.91653	-1.1835	2.7268	0.14477	-1.9095	0.28673
"PGP(16:0/20:4(5Z,8Z,11Z,14Z))"	0.57846	2.4282	0.48209	-1.6087	0.42594	1.2388	-0.06718	0.6259	-1.2943	0.11153	-0.87122	2.2679	0.36423	-1.0925	0.18176	2.0286	0.77275	-1.9178	-0.59437	-0.44124	0.82922	-0.58857	-0.43842	-0.32914	-2.0297	1.3074	0.25536	-0.46621	-0.48146
Deltonin	0.99046	0.58852	-1.5447	-1.2878	2.7746	2.0564	-0.55186	1.5495	-1.0084	1.1528	-0.40999	0.96814	-1.0237	0.076535	0.47716	-0.28901	1.508	-0.62755	-0.83591	0.67931	0.59486	-0.18393	-1.8655	0.030931	-1.9675	0.81038	0.72303	-0.34969	-1.3019
Araliasaponin_II	-0.175	-0.10147	-0.22983	-1.1467	0.96134	0.3218	-0.60412	0.23498	-0.7362	0.026629	0.66678	0.64439	-0.13885	-0.54865	-0.27549	0.021852	0.76283	0.13733	-0.47653	0.32685	-0.044818	-0.068075	-1.0292	0.70957	-0.68452	0.69574	-0.19444	-0.86956	-0.34566
Tragopogonsaponin_M	1.1749	0.48487	0.07394	-1.1913	0.84602	0.73369	-1.154	-0.1943	-0.64267	-0.61764	3.4596	0.39892	0.82544	-1.7207	0.024453	0.65416	2.0036	-0.43659	-0.93965	-0.36418	0.251	-0.012185	-0.40845	1.4195	-0.79008	0.028576	-0.29503	-0.87616	-0.31328
"CDP-DG(18:2(9Z,11Z)/a-15:0)"	2.7422	-0.7855	-0.39413	-1.3739	2.0318	-0.089299	-0.78887	0.71006	-0.45757	-0.1052	-0.44788	1.5817	-1.4212	-2.0093	0.57603	-0.48197	1.2482	-0.96292	0.93215	0.5399	1.4456	1.2717	0.61678	1.0903	-1.225	1.7337	0.57311	0.75045	0.95024
"PIP(16:0/22:4(10Z,13Z,16Z,19Z))"	0.033815	0.66413	1.3023	-1.3935	1.3058	1.0497	-0.091621	-0.27628	-0.20244	0.38757	2.0755	1.0036	0.81805	-2.4579	-0.95502	0.84919	-0.21455	-1.6613	-0.75241	-0.3622	1.1462	0.55233	-0.58896	0.7586	-0.92646	0.96059	0.38199	-1.2802	-1.296
Adrenorphin	1.0125	-1.4557	-1.19	-1.1737	0.72649	1.2915	-0.078727	0.13773	-0.79097	-0.70619	-0.13719	-0.10806	-1.1912	-0.83983	-0.3934	-0.82355	-0.62873	-3.5134	-0.35607	0.48191	0.84368	-0.24331	1.5752	-0.019081	-1.8904	1.0838	-0.70568	-0.40715	0.58041
Tricyclazole	1.9585	1.1383	-0.36266	-0.42311	7.7193	-0.39459	-0.59274	0.63457	0.94825	0.62246	-0.20406	0.18405	0.30938	-0.52485	-0.47238	0.5963	-0.59512	-0.27554	-0.62587	-0.67514	-0.12005	-0.36592	-0.52015	-0.33714	-0.45519	1.026	1.1012	-0.53778	-0.57209
Chlorophyll_b	1.0163	-0.71148	-0.48711	-1.5697	0.93353	-0.27282	-1.5293	0.077599	0.94816	0.082062	2.0549	1.1525	0.31236	-1.6685	-0.59936	0.40115	-0.22813	-1.4752	0.077097	0.066773	1.9855	0.086443	-1.4039	0.18533	-1.4243	2.782	-0.35301	-0.94899	-0.38661
Araliasaponin_I	0.34744	-0.10265	-0.44112	-1.4391	2.8947	0.56133	-0.52024	0.90525	-0.96523	0.94513	-0.88821	3.2595	-1.0185	-1.8978	-0.61409	1.1693	1.0728	-0.40444	-0.12	-0.22997	1.0819	-0.38914	-1.0416	0.1705	-1.7288	0.06569	0.68174	-1.4867	-0.16217
Glycolate	-1.0323	1.6271	-1.0922	2.078	-0.064422	0.019254	2.0886	-0.16684	-0.37636	-0.39157	-1.2811	0.014341	0.87562	1.9236	-0.31842	-0.61519	-0.26509	0.54456	-0.54466	-0.67326	-0.64836	0.0759	0.87897	-0.9846	1.8318	-1.0308	-0.33332	2.1963	-0.7811
Methyl_propenyl_ketone	-1.2738	3.1326	-0.85855	0.023138	-0.78457	0.20796	-0.43992	-0.33294	0.13144	-0.52222	-1.3076	-0.7492	3.0251	-0.62262	-0.96276	-0.51413	0.0083391	4.6411	-0.71701	-1.1567	0.2912	0.55927	0.93292	-1.2682	0.66793	-0.41617	0.016033	-0.28194	-0.030779
Succinic_aldehyde	1.2517	-0.9787	-0.24301	1.1477	-0.33855	0.18867	0.18867	-1.2007	0.039854	-1.2132	-1.4926	-0.64063	0.79202	0.10421	0.035415	-0.90612	-0.097725	1.1818	-0.19738	-0.17608	-1.1292	0.20435	2.7149	-1.2265	-0.11892	-1.2893	-1.2455	0.38336	0.017308
Phenol	-1.199	0.89954	-1.1243	0.85538	-0.36545	-0.35758	1.3536	-0.83658	-0.66652	-0.87065	-0.99879	-0.3657	-0.18077	0.97499	-0.068081	-0.92327	1.5984	0.17617	-0.14935	-0.22101	-0.81047	-0.064058	1.0202	-0.63103	1.3845	-1.0127	-1.0652	1.32	0.21013
Cyclohexanone	-0.33056	0.94368	0.54635	-0.47243	-1.3775	0.13621	-1.1944	-0.74396	1.0385	-0.6194	-0.11012	-0.60775	2.2215	-1.1789	-0.76599	0.8451	-1.396	4.0398	-1.0192	-0.8905	0.44384	0.84991	0.55645	-0.14347	-0.15922	0.33207	-0.21036	-1.2499	-0.66908
2-Vinylthiophene	-1.0486	2.0108	-0.10194	0.73666	-0.38879	-0.28592	-0.29123	-0.54807	-0.21724	-0.35211	-0.55771	-1.1515	3.6407	0.53214	-0.53165	0.52009	-0.16913	3.3104	-1.5075	-1.0214	-0.48682	0.60778	-0.42982	-0.65949	2.8734	-1.1233	-0.13932	-0.64182	-0.78765
2-Thiophenecarboxaldehyde	-0.51999	0.17058	2.4192	-0.11983	-1.1873	0.74898	-0.94626	-0.99355	1.3091	-0.7918	-0.42086	-0.737	1.2671	-1.0965	-0.86331	1.0888	-1.0458	4.2574	-1.0057	-0.90295	-0.05963	1.4926	1.178	-0.44403	0.31529	-0.095819	-0.48783	-1.2968	-0.80149
Furoic_acid	-0.92757	-0.62546	0.28334	2.7429	-0.56016	3.8713	-0.12049	-0.82753	-0.52103	-0.83589	-0.70038	-0.68736	4.4994	-0.1745	-0.35083	-0.69642	-0.61188	0.14214	-0.27966	-0.29064	-0.90939	0.6365	1.0678	-0.72206	-0.15216	-0.9815	-0.86741	-0.18288	-0.31696
Uracil	-0.81944	-0.53681	-0.097777	-0.74256	-0.51834	-0.24305	1.7417	-0.17565	0.47606	-0.24586	-0.85389	-0.66786	-0.28613	1.675	-0.68245	-0.12103	0.38148	-0.28053	-0.69846	-0.70215	-0.42315	-0.33516	4.1495	-0.59648	-0.82547	-0.3897	-0.40682	1.6872	-0.7062
C6:2	-1.6279	-0.59779	-1.1777	1.4595	-0.46606	-0.26133	1.5922	-0.86129	-0.5208	-0.91178	-1.5333	-0.75206	-0.10374	1.3589	0.24455	-1.0065	1.8197	0.95078	0.19542	0.43373	-0.94656	0.20076	1.926	-0.47003	1.4874	-0.92527	-0.91712	1.5017	0.26202
Dihydrouracil	-0.066301	-0.97676	0.90969	0.34269	0.099599	0.10881	-0.016904	-0.33073	-0.25089	-0.37861	-0.48872	-0.37159	-0.30866	-0.12505	-0.34569	-0.13778	0.56716	-0.6257	-0.3495	-0.12066	-0.84204	-0.42265	-0.27879	0.12115	-0.16753	-0.99364	-0.52065	-0.16327	-0.47382
Itaconate	-1.1222	-0.63615	-0.017407	1.6106	-0.9195	0.029284	-0.017407	-0.63055	0.39531	-0.58827	-0.77617	-0.82606	0.70818	0.0075305	-0.44288	-0.08741	0.75042	2.4282	-0.41062	-0.35237	-0.97999	-0.093846	2.4536	-0.51084	0.12288	-0.85274	-0.51642	0.0075305	-0.38249
"2,3-Dihydro-5-methyl-3-thiophenethiol"	-0.00087568	0.097651	0.58861	0.17097	9.5116	0.054762	-0.21601	-0.35075	0.13441	-0.36186	-0.32332	-0.0014894	0.53011	-0.17412	-0.19927	-0.28067	-0.41217	-0.099235	-0.21166	-0.17483	-0.33758	0.0044934	-0.3576	-0.28841	0.073211	-0.41753	-0.41536	-0.10366	-0.22013
2-Methylerythritol	-0.65281	-0.40145	-0.60577	0.398	-0.2484	-0.1697	0.25725	-0.36855	-0.22097	-0.39763	-0.59936	-0.44525	-0.38157	0.18788	0.040457	-0.5471	0.68258	-0.30396	0.032272	0.1177	-0.44965	-0.12879	0.29126	-0.46282	0.27446	-0.49288	-0.3774	0.26866	0.07522
4-Propylphenol	-0.57047	0.020964	-0.51846	0.20202	-0.44769	-0.30249	-0.032722	-0.21073	-0.29285	-0.17853	-0.54914	-0.30354	-0.073063	-0.083013	-0.20514	-0.43121	0.46135	-0.073063	-0.2194	-0.19203	-0.46638	-0.2446	0.070035	-0.45516	0.074724	-0.23135	-0.14652	-0.036281	-0.20302
Alloxan	0.1838	1.3476	2.0139	0.054201	0.085679	0.1207	-0.36351	-1.9452	0.74526	-1.7835	0.32089	-0.70914	1.7497	-0.79239	-0.81471	0.50339	-0.70836	2.285	-0.89058	-0.91344	-1.4762	1.2614	1.029	-0.12176	0.23756	-1.411	-1.6235	-0.30711	-0.92719
Coumarin	-1.3568	-0.14507	-1.399	1.5333	-0.41822	-0.24641	2.3655	0.29713	0.056805	-0.066692	-1.2683	-0.14311	-0.51244	2.0499	0.4162	-0.60652	1.9778	-0.55341	0.19193	0.23824	-0.57659	-0.51423	0.95823	-1.0577	1.4595	-0.37637	0.4162	2.2885	0.34871
Acetaminophen	-0.48696	1.5581	1.844	1.7169	-0.45568	1.2446	-0.44617	-0.34879	-0.32799	-0.30449	-0.43514	-0.41287	0.5038	-0.41287	-0.46458	-0.46962	-0.47447	-0.35539	-0.4629	-0.43308	-0.3074	0.81076	-0.42539	-0.4791	2.3862	-0.35055	-0.27558	-0.42957	-0.45009
Levetiracetam	-0.84572	-0.31116	-1.0403	0.55092	0.026931	-0.11266	0.37905	-0.04682	-0.9217	-0.036808	-1.1913	-0.78293	-0.28723	0.17622	-0.30396	-0.64303	1.3845	-0.3626	-0.30901	-0.20004	-0.35757	-0.39167	0.0079612	-0.33291	0.029219	-0.70587	-0.017684	0.36561	-0.25432
Glycylproline	0.12643	0.71479	-0.28761	-0.35972	-0.43266	0.36697	-0.43007	-0.33442	0.75988	-0.29225	0.044601	-0.25239	0.00032444	-0.45885	-0.25475	-0.48648	-0.011776	-0.425	-0.31511	-0.19111	-0.56767	1.415	-0.67953	-0.13385	-0.47606	-0.018417	-0.23672	-0.46195	-0.28318
Phenol_sulfate	-0.34521	-0.51105	0.066855	-0.32376	7.181	-0.31519	-0.2893	-0.52857	-0.10222	-0.52412	-0.52412	-0.44672	-0.17734	-0.22349	-0.3032	-0.43023	-0.5257	-0.3523	-0.30939	-0.35076	-0.47332	-0.32524	-0.49652	-0.46775	-0.25769	-0.52796	-0.52642	-0.288	-0.29832
Aconitate	-0.70996	-0.74927	2.9733	1.5318	0.53461	0.67513	-0.2406	-0.81324	-0.42759	-0.79089	-0.59332	-0.66646	0.91325	-0.27058	-0.26222	-0.39128	-0.34868	-0.12458	-0.2406	-0.16806	-0.82152	0.13857	1.1834	-0.67402	0.14466	-0.8687	-0.82479	-0.29045	-0.21989
Shikimate	-0.91205	-0.78359	-0.86768	0.86123	-0.050235	-0.21619	1.7837	-0.46932	-0.74759	-0.5955	-0.84678	-0.52911	-0.5818	1.1726	0.068562	-0.79223	1.1726	-0.30669	0.036834	0.10758	-0.81547	-0.19962	0.60504	-0.5758	0.64259	-0.75007	-0.61561	1.3601	0.078229
Formimino-Glu	-1.7824	-1.3055	-1.7528	0.75797	-0.05671	-0.29618	1.1128	-1.1404	-0.90362	-1.3811	2.0879	-0.92269	-0.63062	1.4097	0.40639	0.85202	3.2154	-0.58825	0.30589	0.46897	-0.92931	-0.44888	1.0036	2.2599	0.48742	-1.1652	-1.2593	1.6932	0.38575
(+/-)-3-[(2-methyl-3-furyl)thio]-2-butanone	-1.3818	0.54384	0.086839	1.9177	-0.46465	0.11335	1.7144	-0.44523	-0.83799	-0.47078	-0.40279	-0.93338	0.09568	1.7888	-0.1046	-0.99805	1.8939	-0.019004	-0.069068	0.067877	-0.64118	0.20623	0.54222	-0.82685	2.8098	-0.71554	-0.55656	1.6824	-0.067413
N-(3-acetamidopropyl)pyrrolidin-2-one	-0.66942	-0.59214	-0.61058	-0.53471	-0.2834	-0.16237	0.13812	-0.52387	-0.67709	-0.53301	-0.72415	-0.69481	-0.35814	0.065793	-0.49732	-0.57664	0.29663	-0.61258	-0.48845	-0.42856	-0.62219	-0.37692	-0.041923	-0.27965	-0.59128	-0.64223	-0.60096	0.11025	-0.48741
p-Cresol_sulfate	-0.69664	-0.41544	-0.14749	-0.83447	-0.12809	-0.06071	-0.19351	1.5612	-0.77449	1.7473	-0.8022	-0.45267	-0.18286	-0.24268	-0.75851	-0.356	-0.44836	0.10915	-0.75906	-0.72999	-0.4635	-0.42112	1.8006	-0.8143	-0.86123	0.20418	1.8857	-0.24069	-0.71126
