	Overtime	Source
Tin	Increase	Food
Phenelzine	Increase	Plant
Orotate	Increase	Plant
"1,3-Diisopropylbenzene"	Increase	Plant
Paracetamol_sulfate	Increase	Drug
"4-Hydroxy-8-methoxy-2H-furo[2,3-h]-1-benzopyran-2-one"	Increase	Plant
Indole-3-carboxilic_acid-O-sulphate	Increase	Food
Dehydroisochalciporone	Increase	Plant
Clodronate	Increase	Drug
2-Hydroxyacetaminophen_sulfate	Increase	Food
Furosemide	Increase	Drug
"2-Methyl-1,4-naphthalenediol_bis(dihydrogen_phosphate)"	Increase	Plant
4-Hydroxyestrone_sulfate	Increase	Food
Glisoxepide	Increase	Drug
TG(8:0/8:0/i-12:0)	Increase	Endogenous
CE(11:1D3)	Increase	Endogenous
SM(d18:1/24:0)	Increase	Endogenous
"PS(22:2(13Z,16Z)/24:1(15Z))"	Increase	Endogenous
